Date,Shift,Excavator,Dumper,Trip Count for Mining,Trip Count for Reclaim,Total Trips,Qty (m3),Grader,Dozer
05/08/2025,C,4,13,0,56,56,728,1,1
05/08/2025,Total,12,39,0,205,205,2665,3,3
06/08/2025,A,4,13,0,78,78,1014,1,1
06/08/2025,B,4,13,0,181,181,2353,1,1
06/08/2025,C,4,13,0,52,52,676,1,1
06/08/2025,Total,12,39,0,311,311,4043,3,3
07/08/2025,A,4,13,0,127,127,1651,1,1
07/08/2025,B,4,13,0,93,93,1209,1,1
07/08/2025,C,4,13,0,49,49,637,1,1
07/08/2025,Total,12,39,0,269,269,3497,3,3
08/08/2025,A,4,13,0,86,86,1118,1,1
08/08/2025,B,4,13,0,76,76,988,1,1
08/08/2025,C,4,13,0,91,91,1183,1,1
08/08/2025,Total,12,39,0,253,253,3289,3,3
09/08/2025,A,4,13,0,69,69,897,1,1
09/08/2025,B,4,13,0,82,82,1066,1,1
09/08/2025,C,4,13,0,66,66,858,1,1
09/08/2025,Total,12,39,0,217,217,2821,3,3
10/08/2025,A,4,13,0,111,111,1443,1,1
10/08/2025,B,4,13,0,61,61,793,1,1
10/08/2025,C,4,13,0,60,60,780,1,1
10/08/2025,Total,12,39,0,232,232,3016,3,3
11/08/2025,A,4,13,0,121,121,1573,1,1
11/08/2025,B,4,13,1,68,69,903,1,1
11/08/2025,C,4,13,0,77,77,1001,1,1
11/08/2025,Total,12,39,1,266,267,3477,3,3
12/08/2025,A,4,13,0,98,98,1274,1,1
12/08/2025,B,4,13,0,13,13,169,1,1
12/08/2025,C,4,13,0,13,13,169,1,1
12/08/2025,Total,12,39,0,124,124,1612,3,3
13/08/2025,A,4,13,0,104,104,1352,1,1
13/08/2025,B,4,13,0,31,31,403,1,1
13/08/2025,C,4,13,0,10,10,130,1,1
13/08/2025,Total,12,39,0,145,145,1885,3,3
14/08/2025,A,4,13,0,23,23,299,1,1
14/08/2025,B,4,13,0,64,64,832,1,1
14/08/2025,C,4,13,0,76,76,988,1,1
14/08/2025,Total,12,39,0,163,163,2119,3,3
16/08/2025,A,4,13,0,50,50,650,1,1
16/08/2025,B,4,13,8,105,113,1517,1,1
16/08/2025,C,4,13,0,85,85,1105,1,1
16/08/2025,Total,12,39,8,240,248,3272,3,3
17/08/2025,A,4,13,0,116,116,1508,1,1
17/08/2025,B,4,13,0,83,83,1079,1,1
17/08/2025,C,4,13,0,74,74,962,1,1
17/08/2025,Total,12,39,0,273,273,3549,3,3
18/08/2025,A,4,13,0,82,82,1066,1,1
18/08/2025,B,4,13,0,148,148,1924,1,1
18/08/2025,C,4,13,0,70,70,910,1,1
18/08/2025,Total,12,39,0,300,300,3900,3,3
19/08/2025,A,4,13,0,63,63,819,1,1
19/08/2025,B,4,13,0,77,77,1001,1,1
19/08/2025,C,4,13,0,1,1,13,1,1
19/08/2025,Total,12,39,0,141,141,1833,3,3
